id,name,desc,price,quantity
0,FPS Shooter Pro,A thrilling first-person shooter game.,599.99,10
1,RPG Legends,An epic role-playing game with an immersive storyline.,999.99,5
2,Racing Mania,High-speed racing game with customizable cars.,499.99,8
3,Strategy King,Real-time strategy game for competitive players.,399.99,12
4,Fantasy Quest,A magical adventure game in a fantasy world.,799.99,7
5,Sports Challenge,Play your favorite sports in a virtual arena.,699.99,15
6,Puzzle Master,Challenging puzzles with creative solutions.,299.99,20
7,Horror Escape,Survive a terrifying escape room experience.,399.99,6
8,Arcade Classics,Collection of retro arcade games.,199.99,50
9,Space Explorer,Explore galaxies in this space exploration game.,899.99,3
10,Multiplayer Mayhem,Battle your friends in chaotic multiplayer arenas.,799.99,25
